b: {FlightNum: int,Origin: chararray,Dest: chararray,Diverted: int}
(1084,GEG,PDX,1)
(1925,LAS,LIT,1)
(2114,BWI,MHT,1)
(638,OAK,SAN,1)
(26,HOU,DAL,1)
(1825,PHX,SMF,1)
(2676,BOI,RNO,1)
(2032,LAS,RNO,1)
(2093,STL,MDW,1)
(836,CLE,MDW,1)
(2876,MCO,PVD,1)
(634,MEM,LGA,1)
(644,MSP,RSW,1)
(800,MSY,MEM,1)
(844,MSP,MIA,1)
(857,MSP,GRB,1)
(857,MSY,MSP,1)
(881,TPA,MEM,1)
(1158,MSP,CLE,1)
(1172,MSP,BNA,1)
(1296,MSP,CVG,1)
(1476,MSY,DTW,1)
(1478,MSY,DTW,1)
(1484,MSO,MSP,1)
(1578,DTW,CLT,1)
(1590,IAH,MEM,1)
(1634,MSP,DFW,1)
(1635,MSP,HDN,1)
(1651,SJU,MEM,1)
(1720,MSN,DTW,1)
(1749,DTW,BHM,1)
(1774,DTW,PHL,1)
(1818,DTW,HPN,1)
(1828,IAH,DTW,1)
(1851,BOS,MEM,1)
(1945,PHL,MEM,1)
(5707,ATL,ICT,1)
(5783,ATL,HPN,1)
(5530,ABE,CVG,1)
(5742,CVG,COS,1)
(5200,CVG,DTW,1)
(5892,DAY,ATL,1)
(5852,ATL,DSM,1)
(5852,DSM,ATL,1)
(5855,FNT,ATL,1)
(5687,GRR,ATL,1)
(5263,LGA,RIC,1)
(5812,ISP,ATL,1)
(5651,STL,JFK,1)
(5665,SDF,ATL,1)
(5534,ABE,ATL,1)
(5332,AVP,ATL,1)
(5561,GSO,LGA,1)
(5214,CHS,LGA,1)
(5786,CVG,HPN,1)
(5465,ORD,JFK,1)
(5413,BNA,LGA,1)
(5546,PWM,LGA,1)
(5814,CVG,ISP,1)
(5508,RDU,LGA,1)
(5025,CVG,FLL,1)
(5768,CVG,ERI,1)
(5855,ATL,DSM,1)
(5249,ATL,SYR,1)
(5291,ATL,CAK,1)
(5151,ATL,ATW,1)
(5390,CHS,CVG,1)
(5857,CVG,DSM,1)
(5447,FNT,CVG,1)
(5802,IAD,CVG,1)
(5450,ATL,FNT,1)
(5786,HPN,CVG,1)
(5834,MCI,CVG,1)
(5051,ORF,CVG,1)
(5361,ATL,BUF,1)
(5431,JAX,JFK,1)
(5393,CHS,DCA,1)
(5514,RDU,LGA,1)
(5787,ATL,HPN,1)
(5608,SAV,LGA,1)
(5451,ATL,BUF,1)
(5312,ATL,ABE,1)
(5035,CVG,LGA,1)
(5127,BHM,LGA,1)
(5018,GSO,LGA,1)
(5763,SBN,ATL,1)
(5808,ATL,JFK,1)
(5788,CVG,HPN,1)
(5136,CAE,LGA,1)
(5539,CVG,ABE,1)
(5551,PWM,LGA,1)
(5392,CHS,LGA,1)
(5816,CVG,ISP,1)
(5816,CVG,ISP,1)
(5437,JAX,LGA,1)
(5435,JAX,LGA,1)
(5138,CAE,LGA,1)
(5540,ATL,ABE,1)
(5817,ATL,ISP,1)
(5525,CVG,SRQ,1)
(5588,ATL,MDT,1)
(5326,CVG,MHT,1)
(3715,DFW,DEN,1)
(6491,LAX,DEN,1)
(9517,IAH,ACT,1)
(9537,IAH,ACT,1)
(6058,FAT,ONT,1)
(6108,LAX,SBA,1)
(6097,LAX,SFO,1)
(6847,ROA,IND,1)
(3446,DTW,EWR,1)
(2846,MEM,CLE,1)
(2114,MSP,CLE,1)
(2150,BNA,CLE,1)
(3345,CLT,EWR,1)
(3459,AVL,EWR,1)
(2397,PVD,CLE,1)
(2750,CHS,EWR,1)
(2147,CVG,EWR,1)
(2464,BOS,CLE,1)
(2477,GSO,EWR,1)
(2460,CLE,ABE,1)
(2104,CLE,ISP,1)
(2925,JAX,IAH,1)
(2335,SDF,EWR,1)
(3368,COS,IAH,1)
(2750,CHS,EWR,1)
(2889,JAX,IAH,1)
(2120,ORD,CLE,1)
(3360,MSP,EWR,1)
(202,MDW,LGA,1)
(284,MDW,EWR,1)
(935,MDW,SFO,1)
(143,ORD,SFO,1)
(150,SFO,ORD,1)
(157,MCO,ORD,1)
(179,BOS,SFO,1)
(238,ORD,BUF,1)
(408,DEN,LGA,1)
(277,ATL,SAN,1)
(214,EGE,ATL,1)
(240,ATL,PWM,1)
(2216,DFW,LGA,1)
(2464,FLL,LGA,1)
(2588,FLL,EWR,1)
(427,CVG,SEA,1)
(214,EGE,ATL,1)
(443,RIC,ATL,1)
(652,PSP,ATL,1)
(2052,ATL,MKE,1)
(349,BDL,ATL,1)
(364,MCI,ATL,1)
(562,SRQ,ATL,1)
(4142,ATL,VPS,1)
(4158,ATL,TYS,1)
(4243,LEX,DFW,1)
(4506,DFW,JFK,1)
(4845,EYW,ATL,1)
(301,ATL,DEN,1)
(372,ATL,LGA,1)
(123,ATL,FLL,1)
(531,ATL,MEM,1)
(856,ATL,MSP,1)
(480,MCO,BWI,1)
(803,PHX,SFO,1)
(116,LAS,LAX,1)
(685,PHX,EWR,1)
(277,PDX,PHX,1)
(98,PIT,PHX,1)
(3005,LAX,SBP,1)
(3035,LAX,SBA,1)
(3065,LAX,SAN,1)
(3233,LAX,SFO,1)
(3242,SJC,SBP,1)
(3470,BTR,DFW,1)
(3470,BTR,DFW,1)
(3523,DFW,CLE,1)
(3691,DFW,BTR,1)
(4054,ORD,DSM,1)
(4130,EVV,ORD,1)
(4259,ORD,MEM,1)
(4363,ORD,CHA,1)
(4463,ORD,DLH,1)
(4465,ORD,DLH,1)
(4609,PHL,RDU,1)
(4689,RDU,BOS,1)
(4764,RDU,JFK,1)
(4831,RDU,LGA,1)
(4885,PWM,LGA,1)
(116,SNA,MSP,1)
(404,DFW,MSP,1)
(59,JFK,SFO,1)
(149,IAD,LAX,1)
(270,SNA,JFK,1)
(282,PHX,JFK,1)
(352,ORD,LGA,1)
(354,ORD,LGA,1)
(370,ORD,LGA,1)
(444,SNA,DFW,1)
(476,BUR,DFW,1)
(531,MSP,DFW,1)
(610,SJU,JFK,1)
(710,DFW,LGA,1)
(712,DFW,LGA,1)
(750,DFW,LGA,1)
(804,FLL,LGA,1)
(1170,BUR,DFW,1)
(1180,PDX,DFW,1)
(1282,TPA,LGA,1)
(1316,LAS,ORD,1)
(1418,SAN,DFW,1)
(1437,MIA,ORD,1)
(1454,HOU,LGA,1)
(1549,SJU,DFW,1)
(1565,DCA,DFW,1)
(1604,DFW,DCA,1)
(1734,SFO,MIA,1)
(1734,SFO,MIA,1)
(1736,MIA,LGA,1)
(1782,DFW,RDU,1)
(1821,BHM,DFW,1)
(1831,HPN,ORD,1)
(1832,MCO,LGA,1)
(1876,SAN,DFW,1)
(1885,BWI,SJU,1)
(1988,IAH,ORD,1)
(2064,ABQ,ORD,1)
(2067,MEM,DFW,1)
(2229,DFW,HDN,1)
(2252,JAC,ORD,1)
(2262,EGE,DFW,1)
(2321,ORD,DFW,1)
(2396,EGE,EWR,1)
(2927,DFW,DEN,1)
(2978,DFW,MCI,1)
(64,ANC,JNU,1)
(64,ANC,JNU,1)
(64,ANC,JNU,1)
(64,ANC,JNU,1)
(64,ANC,JNU,1)
(64,JNU,PSG,1)
(64,WRG,KTN,1)
(65,PSG,JNU,1)
(65,PSG,JNU,1)
(65,PSG,JNU,1)
(211,LAX,SFO,1)
(230,PDX,SAN,1)
(356,OAK,SNA,1)
(576,SEA,LAX,1)
(66,JFK,RSW,1)
(217,JFK,LGB,1)
(385,JFK,FLL,1)
(746,IAH,ORD,1)
(732,IAH,LGA,1)
(73,IAH,HNL,1)
(1135,EWR,DFW,1)
(539,MIA,EWR,1)
(1034,PHX,EWR,1)
(62,IAH,EWR,1)
(1720,SLC,IAH,1)
(1819,TPA,EWR,1)
(731,MCO,CLE,1)
(508,SEA,CLE,1)
(1784,FLL,CLE,1)
(134,PHX,EWR,1)
(1135,EWR,DFW,1)
(7579,DSM,ORD,1)
(7286,IAD,PWM,1)
(6257,RDU,JFK,1)
(6280,PHL,JFK,1)
(7211,IAD,LGA,1)
(7604,ORD,HPN,1)
(6206,TOL,CVG,1)
(6208,CVG,TRI,1)
(7236,IAD,BOS,1)
(7400,TUL,ORD,1)
(7280,IAD,BTV,1)
(7475,CAE,ORD,1)
(7786,IAD,CLE,1)
(2032,ATL,STL,1)
(571,CVG,SLC,1)
(411,ATL,PHX,1)
(1629,CVG,PHX,1)
(1739,DFW,SAN,1)
(918,ATL,VPS,1)
(973,ATL,LGA,1)
(1764,DCA,LGA,1)
(1910,CVG,LGA,1)
(510,SLC,CVG,1)
(917,ATL,RSW,1)
(187,ATL,ORF,1)
(1535,BOS,SLC,1)
(1784,BTR,ATL,1)
(517,ORD,SJC,1)
(756,DEN,IAH,1)
(985,RNO,SFO,1)
(1082,DEN,DFW,1)
(1181,ORD,MSP,1)
(1183,DSM,DEN,1)
(1283,DEN,SAN,1)
(1290,ORD,BDL,1)
(1453,DEN,PHX,1)
(794,BOS,CLT,1)
(933,PHL,FLL,1)
(364,BUF,LAS,1)
(446,ONT,PHX,1)
(1773,ELP,PHX,1)
(212,MDW,JAN,1)
(23,DAL,HOU,1)
(27,DAL,HOU,1)
(141,DAL,IAH,1)
(1569,BWI,PVD,1)
(973,MSY,MCO,1)
(799,ORF,MCO,1)
(2675,PHX,BUR,1)
(717,PVD,TPA,1)
(782,BUF,BWI,1)
(557,MCI,SMF,1)
(42,CRP,HOU,1)
(2899,MDW,SAN,1)
(1973,BNA,LAS,1)
(2131,BNA,LAX,1)
(447,TPA,MDW,1)
(2257,HOU,OKC,1)
(1246,MCI,OKC,1)
(2257,MCI,STL,1)
(2819,BNA,ONT,1)
(655,EWR,DTW,1)
(691,PHL,MSP,1)
(735,JFK,MSP,1)
(735,JFK,MSP,1)
(922,HNL,MSP,1)
(1729,FNT,MSP,1)
(3631,SLC,CDC,1)
(3674,SUN,TWF,1)
(6833,ORD,BNA,1)
(2461,IAH,LBB,1)
(3320,CLE,DEN,1)
(2901,COS,IAH,1)
(3317,SRQ,IAH,1)
(2500,LEX,EWR,1)
(2556,OKC,IAH,1)
(48,OGG,SFO,1)
(347,DEN,SAN,1)
(389,CLE,DEN,1)
(1162,SEA,CVG,1)
(964,CVG,FLL,1)
(1429,JFK,SLC,1)
(1605,ATL,DEN,1)
(533,DFW,SAN,1)
(4484,DFW,JAN,1)
(4614,TYS,DFW,1)
(4688,MLU,ATL,1)
(262,ATL,FNT,1)
(409,BOS,LAX,1)
(397,LAS,DFW,1)
(732,LAS,SAN,1)
(3215,SJC,SAN,1)
(3502,HSV,DFW,1)
(3769,DFW,SGF,1)
(3909,ORD,FSD,1)
(4022,ORD,ALB,1)
(4047,ORD,ALB,1)
(4057,ORD,BUF,1)
(4116,OKC,ORD,1)
(4235,ORD,DSM,1)
(4764,RDU,JFK,1)
(2,LAX,JFK,1)
(229,BOS,SEA,1)
(239,SJU,LAX,1)
(286,LIH,LAX,1)
(570,MCI,ORD,1)
(671,MIA,STT,1)
(723,DCA,MIA,1)
(816,SJC,DFW,1)
(1108,DFW,SAN,1)
(1199,DFW,SAN,1)
(1242,RNO,ORD,1)
(1322,SAN,DFW,1)
(1793,IAD,DFW,1)
(1878,SJC,ORD,1)
(1957,JFK,DFW,1)
(1967,ORD,STL,1)
