flightnum,origin,dest
7375,ORF,ORD
7415,SYR,ORD
7457,TYS,ORD
7501,MBS,ORD
7509,BHM,ORD
7518,LEX,ORD
7519,FWA,ORD
7558,ROC,ORD
7577,BUF,ORD
7707,AZO,ORD
7926,IAD,DAY
7962,GSO,IAD
7900,IAD,SCE
7580,ORD,AVP
7862,IAD,SYR
7918,MSY,IAD
7622,ORD,BUF
7802,ORD,BUF
7772,IAD,CLE
7703,ORD,LNK
7741,ORD,OKC
7743,ORD,OKC
7297,ORD,RDU
7826,IAD,HPN
7606,ORD,HPN
7548,GSP,ORD
7633,MDT,ORD
7629,PWM,ORD
6152,DAY,CVG
6168,PIT,CVG
6228,CVG,CAE
7367,IAD,CHS
7404,ORD,LEX
6136,CVG,CAE
6157,CVG,EVV
6187,MSN,CVG
6198,SBN,CVG
6210,TYS,CVG
6287,PHL,CVG
7484,ORD,CHS
7866,IAD,DAY
7612,ORD,HPN
7246,ORD,AZO
7259,IAD,MHT
7479,GSO,ORD
6136,CVG,CAE
829,SAV,ATL
1277,ATL,PDX
215,ATL,EGE
351,ATL,PHX
1027,ATL,VPS
1177,EWR,ATL
2492,MCO,JFK
1877,ATL,VPS
1915,SDF,ATL
897,ATL,BTR
1437,SLC,LAX
1481,ATL,TUL
2163,SLC,FCA
1277,ATL,PDX
1607,DFW,PDX
1600,COS,ATL
1154,CVG,CLE
2523,BOS,TPA
1551,SYR,ATL
508,DEN,OKC
569,IAD,DFW
577,ORD,SMF
590,ORD,MCO
603,DCA,ORD
615,ORD,LAX
615,ORD,LAX
691,ORD,DFW
729,DEN,ABQ
775,ORD,LAS
783,SJU,ORD
868,LAS,ORD
897,ORD,SNA
985,RNO,SFO
1002,SJC,DEN
1141,DEN,ANC
1185,DEN,SAN
1205,MCO,ORD
1206,ORD,RSW
1227,CLE,DEN
1245,MCO,ORD
1290,ORD,BDL
1431,MSY,DEN
1438,ONT,DEN
976,PHL,BWI
40,LAX,CLT
745,MSY,CLT
954,ILM,CLT
985,CMH,CLT
1481,STT,CLT
1269,PBI,DCA
2047,BOS,DCA
756,CLT,EWR
615,CLT,LAS
657,PHL,LAS
47,CLT,LAX
1195,CLT,MCO
701,PIT,MSY
739,LGA,MSY
134,STT,PHL
344,TPA,PHL
804,DFW,PHL
1225,BUF,PHL
1250,RDU,PHL
88,SAN,PIT
740,SFO,PIT
294,PHL,RSW
683,PIT,RSW
1019,CLT,RSW
59,CLT,SEA
107,PHL,SEA
107,PHL,SEA
781,PIT,SEA
73,PIT,SFO
1828,ABQ,AMA
2526,ABQ,DAL
1547,ABQ,LAS
1661,ABQ,LAX
2044,ABQ,MCI
1000,ALB,BWI
620,AUS,HOU
935,AUS,PHX
443,BHM,MSY
954,BNA,LAS
2538,BNA,MCI
1168,BNA,MSY
835,BNA,SAN
1290,BNA,SAN
1766,BOI,PDX
77,BUF,BWI
