"_c0",dayofmonth,arrtime
SYR,27,11
SYR,27,1108
SYR,27,1245
SYR,27,1322
SYR,27,1416
SYR,27,1424
SYR,27,1433
SYR,27,1549
SYR,27,1600
SYR,27,1645
SYR,27,1701
SYR,27,1704
SYR,27,1733
SYR,27,1759
SYR,27,1810
SYR,27,1847
SYR,27,2014
SYR,27,210
SYR,27,2215
SYR,27,2219
SYR,27,2229
SYR,27,2309
SYR,27,301
SYR,27,906
SYR,28,1006
SYR,28,1040
SYR,28,1103
SYR,28,1148
SYR,28,1224
SYR,28,1322
SYR,28,1355
SYR,28,1413
SYR,28,1420
SYR,28,1432
SYR,28,1505
SYR,28,1521
SYR,28,1610
SYR,28,1619
SYR,28,1624
SYR,28,1700
SYR,28,1748
SYR,28,1752
SYR,28,1755
SYR,28,1825
SYR,28,1831
SYR,28,1839
SYR,28,2008
SYR,28,2057
SYR,28,2120
SYR,28,2134
SYR,28,2140
SYR,28,2213
SYR,28,2224
SYR,28,2307
SYR,28,2348
SYR,28,2354
SYR,28,56
SYR,28,920
SYR,28,940
SYR,29,1
SYR,29,1017
SYR,29,1040
SYR,29,1139
SYR,29,1201
SYR,29,1224
SYR,29,1305
SYR,29,1310
SYR,29,1349
SYR,29,1412
SYR,29,1444
SYR,29,1457
SYR,29,15
SYR,29,1545
SYR,29,1606
SYR,29,1615
SYR,29,1628
SYR,29,1630
SYR,29,1635
SYR,29,1659
SYR,29,1731
SYR,29,1800
SYR,29,1822
SYR,29,1830
SYR,29,2004
SYR,29,2023
SYR,29,2132
SYR,29,2134
SYR,29,2208
SYR,29,2210
SYR,29,2231
SYR,29,2332
SYR,29,2338
SYR,29,2359
SYR,29,844
SYR,29,931
SYR,29,950
SYR,29,954
SYR,3,1005
SYR,3,1045
SYR,3,1050
SYR,3,1140
SYR,3,1152
SYR,3,1215
SYR,3,1315
SYR,3,1324
SYR,3,1352
SYR,3,1414
SYR,3,1444
SYR,3,1501
SYR,3,1537
SYR,3,1615
SYR,3,1621
SYR,3,1719
SYR,3,1740
SYR,3,1742
SYR,3,1817
SYR,3,1821
SYR,3,1825
SYR,3,1922
SYR,3,2029
SYR,3,2105
SYR,3,2107
SYR,3,2149
SYR,3,2206
SYR,3,2214
SYR,3,2222
SYR,3,2349
SYR,3,2358
SYR,3,249
SYR,3,838
SYR,3,910
SYR,3,912
SYR,3,943
SYR,30,1010
SYR,30,1014
SYR,30,1044
SYR,30,1109
SYR,30,1157
SYR,30,1231
SYR,30,1249
SYR,30,1319
SYR,30,1345
SYR,30,1409
SYR,30,1417
SYR,30,1425
SYR,30,1440
SYR,30,1534
SYR,30,1610
SYR,30,1616
SYR,30,1620
SYR,30,1652
SYR,30,1711
SYR,30,1726
SYR,30,1750
SYR,30,1822
SYR,30,1835
SYR,30,1915
SYR,30,2006
SYR,30,2141
SYR,30,2150
SYR,30,2153
SYR,30,2200
SYR,30,2203
SYR,30,2216
SYR,30,2236
SYR,30,2324
SYR,30,2330
SYR,30,238
SYR,30,918
SYR,30,935
SYR,30,952
SYR,31,1015
SYR,31,1028
SYR,31,1035
SYR,31,1122
SYR,31,1155
SYR,31,1209
SYR,31,1223
SYR,31,1315
SYR,31,1327
SYR,31,1410
SYR,31,1457
SYR,31,1513
SYR,31,1602
SYR,31,1614
SYR,31,1631
SYR,31,1705
SYR,31,1705
SYR,31,1748
SYR,31,1817
SYR,31,1828
SYR,31,1831
SYR,31,1917
SYR,31,20
SYR,31,2052
SYR,31,2056
SYR,31,2104
SYR,31,2125
SYR,31,2140
SYR,31,2157
SYR,31,2219
SYR,31,2259
SYR,31,914
SYR,31,928
SYR,4,1018
SYR,4,1031
SYR,4,1058
SYR,4,1137
SYR,4,1202
SYR,4,1216
SYR,4,1322
SYR,4,1353
SYR,4,1410
SYR,4,1426
SYR,4,1559
SYR,4,1602
SYR,4,1615
SYR,4,1623
SYR,4,1654
SYR,4,1727
SYR,4,1803
SYR,4,1805
SYR,4,1901
SYR,4,1907
SYR,4,2012
SYR,4,2050
SYR,4,2157
SYR,4,2213
SYR,4,2223
SYR,4,2226
SYR,4,2315
SYR,4,2351
SYR,4,33
SYR,4,46
SYR,4,855
SYR,4,909
SYR,4,949
SYR,5,1008
SYR,5,1020
SYR,5,1059
SYR,5,1141
SYR,5,1235
SYR,5,1242
SYR,5,1253
SYR,5,1302
SYR,5,1312
SYR,5,1402
SYR,5,1509
SYR,5,1520
SYR,5,16
SYR,5,1619
SYR,5,1619
SYR,5,1627
SYR,5,1641
SYR,5,1658
SYR,5,1707
SYR,5,1752
SYR,5,1804
SYR,5,1835
SYR,5,1856
SYR,5,1930
SYR,5,2103
SYR,5,2156
SYR,5,2202
SYR,5,2203
SYR,5,2232
SYR,5,2238
SYR,5,23
SYR,5,2303
SYR,5,2351
SYR,5,2400
SYR,5,307
SYR,5,852
SYR,5,915
SYR,5,936
SYR,6,1026
SYR,6,1029
SYR,6,1045
SYR,6,1054
SYR,6,1230
SYR,6,1258
SYR,6,1301
SYR,6,1352
SYR,6,1358
SYR,6,1418
SYR,6,1425
SYR,6,1500
SYR,6,1524
SYR,6,1606
SYR,6,1616
SYR,6,1645
SYR,6,1706
SYR,6,1708
SYR,6,1736
SYR,6,1805
SYR,6,1810
SYR,6,1833
SYR,6,2014
SYR,6,2050
SYR,6,2139
SYR,6,2212
SYR,6,2217
SYR,6,2227
SYR,6,2248
SYR,6,2310
SYR,6,2333
SYR,6,2356
SYR,6,31
SYR,6,832
SYR,6,930
SYR,6,938
SYR,7,10
SYR,7,1013
SYR,7,1044
SYR,7,1109
SYR,7,1139
SYR,7,1216
SYR,7,1235
SYR,7,1315
SYR,7,1347
SYR,7,1415
SYR,7,1419
SYR,7,1422
SYR,7,1433
SYR,7,1617
SYR,7,1622
SYR,7,1624
SYR,7,1627
SYR,7,1651
SYR,7,1714
SYR,7,1721
SYR,7,1745
SYR,7,1816
SYR,7,1835
SYR,7,1921
SYR,7,2012
SYR,7,2100
SYR,7,2137
SYR,7,2154
SYR,7,2159
SYR,7,2211
SYR,7,2217
SYR,7,2237
SYR,7,2312
SYR,7,2345
SYR,7,900
SYR,7,920
SYR,7,924
SYR,7,954
SYR,8,1042
SYR,8,1105
SYR,8,1144
SYR,8,1207
SYR,8,1210
SYR,8,1313
SYR,8,1342
SYR,8,1345
SYR,8,1404
SYR,8,1418
SYR,8,1423
SYR,8,1538
SYR,8,154
SYR,8,1543
SYR,8,1600
SYR,8,1606
SYR,8,1624
SYR,8,1651
SYR,8,1728
SYR,8,1758
SYR,8,1806
SYR,8,1817
SYR,8,1842
SYR,8,2005
SYR,8,2104
SYR,8,2119
SYR,8,2145
SYR,8,2202
SYR,8,2221
SYR,8,2222
SYR,8,2226
SYR,8,2313
SYR,8,2325
SYR,8,835
SYR,8,927
SYR,8,935
SYR,8,941
SYR,9,1001
SYR,9,1034
SYR,9,1111
SYR,9,1150
SYR,9,1213
SYR,9,1221
SYR,9,1332
SYR,9,1342
SYR,9,1354
SYR,9,1414
SYR,9,1415
SYR,9,1428
SYR,9,1517
SYR,9,1604
SYR,9,1625
SYR,9,1656
SYR,9,1708
SYR,9,1721
SYR,9,1756
SYR,9,1806
SYR,9,1818
SYR,9,1827
SYR,9,1836
SYR,9,1959
SYR,9,2059
SYR,9,2116
SYR,9,2144
SYR,9,2210
SYR,9,2217
SYR,9,2248
SYR,9,2309
SYR,9,2339
SYR,9,2350
SYR,9,33
SYR,9,901
SYR,9,921
SYR,9,946
